Initial error before optimization: 14930.357856355507
Initial error: 14930.4, values: 10000
iter      cost      cost_change    lambda  success iter_time
   0  1.883312e+04   -3.90e+03    1.00e-05     1    6.18e-02
iter      cost      cost_change    lambda  success iter_time
   0  1.853776e+04   -3.61e+03    1.00e-04     1    5.11e-02
iter      cost      cost_change    lambda  success iter_time
   0  1.129681e+04    3.63e+03    1.00e-03     1    5.22e-02
   1  2.654565e+03    8.64e+03    1.00e-04     1    6.10e-02
   2  2.979382e+03   -3.25e+02    1.00e-05     1    6.81e-02
   2  5.364221e+02    2.12e+03    1.00e-04     1    5.43e-02
   3  2.078974e+03   -1.54e+03    1.00e-05     1    5.37e-02
   3  2.856137e+02    2.51e+02    1.00e-04     1    5.50e-02
   4  1.513715e+03   -1.23e+03    1.00e-05     1    4.92e-02
   4  4.306547e+01    2.43e+02    1.00e-04     1    4.98e-02
   5  1.707054e+03   -1.66e+03    1.00e-05     1    4.98e-02
   5  1.471313e+01    2.84e+01    1.00e-04     1    4.82e-02
   6  1.725332e+03   -1.71e+03    1.00e-05     1    5.10e-02
   6  1.146726e+01    3.25e+00    1.00e-04     1    5.20e-02
   7  1.304880e+03   -1.29e+03    1.00e-05     1    5.09e-02
   7  1.049086e+01    9.76e-01    1.00e-04     1    5.15e-02
   8  8.054642e+02   -7.95e+02    1.00e-05     1    5.25e-02
   8  9.386400e+00    1.10e+00    1.00e-04     1    4.98e-02
   9  4.682377e+02   -4.59e+02    1.00e-05     1    4.88e-02
   9  8.550647e+00    8.36e-01    1.00e-04     1    4.64e-02
  10  2.829871e+02   -2.74e+02    1.00e-05     1    4.71e-02
  10  7.993963e+00    5.57e-01    1.00e-04     1    4.99e-02
  11  1.853158e+02   -1.77e+02    1.00e-05     1    5.14e-02
  11  7.617202e+00    3.77e-01    1.00e-04     1    5.41e-02
  12  1.342877e+02   -1.27e+02    1.00e-05     1    5.25e-02
  12  7.353448e+00    2.64e-01    1.00e-04     1    4.76e-02
  13  1.069988e+02   -9.96e+01    1.00e-05     1    4.62e-02
  13  7.156757e+00    1.97e-01    1.00e-04     1    4.77e-02
  14  9.098775e+01   -8.38e+01    1.00e-05     1    5.05e-02
  14  6.997728e+00    1.59e-01    1.00e-04     1    4.81e-02
  15  8.009376e+01   -7.31e+01    1.00e-05     1    4.86e-02
  15  6.861014e+00    1.37e-01    1.00e-04     1    5.00e-02
  16  7.157116e+01   -6.47e+01    1.00e-05     1    4.78e-02
  16  6.739223e+00    1.22e-01    1.00e-04     1    4.87e-02
  17  6.430184e+01   -5.76e+01    1.00e-05     1    4.87e-02
  17  6.628610e+00    1.11e-01    1.00e-04     1    5.02e-02
  18  5.786496e+01   -5.12e+01    1.00e-05     1    4.54e-02
  18  6.527031e+00    1.02e-01    1.00e-04     1    5.00e-02
  19  5.210645e+01   -4.56e+01    1.00e-05     1    5.00e-02
  19  6.433076e+00    9.40e-02    1.00e-04     1    5.24e-02
  20  4.695882e+01   -4.05e+01    1.00e-05     1    4.87e-02
  20  6.345709e+00    8.74e-02    1.00e-04     1    4.78e-02
  21  4.237460e+01   -3.60e+01    1.00e-05     1    4.77e-02
  21  6.264116e+00    8.16e-02    1.00e-04     1    4.77e-02
  22  3.830674e+01   -3.20e+01    1.00e-05     1    4.68e-02
  22  6.187623e+00    7.65e-02    1.00e-04     1    4.72e-02
  23  3.470585e+01   -2.85e+01    1.00e-05     1    4.80e-02
  23  6.115659e+00    7.20e-02    1.00e-04     1    4.72e-02
  24  3.152226e+01   -2.54e+01    1.00e-05     1    4.79e-02
  24  6.047734e+00    6.79e-02    1.00e-04     1    4.59e-02
