Initial error before optimization: 2400615.020699598
Initial error: 2.40062e+06, values: 5000
iter      cost      cost_change    lambda  success iter_time
   0  2.470004e+06   -6.94e+04    1.00e-05     1    1.91e-01
iter      cost      cost_change    lambda  success iter_time
   0  2.468895e+06   -6.83e+04    1.00e-04     1    1.57e-01
iter      cost      cost_change    lambda  success iter_time
   0  2.457854e+06   -5.72e+04    1.00e-03     1    1.58e-01
iter      cost      cost_change    lambda  success iter_time
   0  2.352749e+06    4.79e+04    1.00e-02     1    1.58e-01
   1  7.914015e+05    1.56e+06    1.00e-03     1    1.60e-01
   2  1.885834e+05    6.03e+05    1.00e-04     1    1.53e-01
   3  5.789961e+04    1.31e+05    1.00e-05     1    1.47e-01
   4  3.973114e+04    1.82e+04    1.00e-06     1    1.52e-01
   5  3.348559e+04    6.25e+03    1.00e-07     1    1.53e-01
   6  3.164749e+04    1.84e+03    1.00e-08     1    1.55e-01
   7  3.086769e+04    7.80e+02    1.00e-09     1    1.62e-01
   8  3.055149e+04    3.16e+02    1.00e-10     1    1.57e-01
   9  3.040081e+04    1.51e+02    1.00e-11     1    1.46e-01
  10  3.031420e+04    8.66e+01    1.00e-12     1    1.50e-01
  11  3.026080e+04    5.34e+01    1.00e-13     1    1.50e-01
  12  3.022376e+04    3.70e+01    1.00e-14     1    1.50e-01
  13      inf    0.00e+00    1.00e-15     0    1.30e-01
  13  3.019604e+04    2.77e+01    1.00e-14     1    1.45e-01
  14      inf    0.00e+00    1.00e-15     0    1.24e-01
  14  3.017307e+04    2.30e+01    1.00e-14     1    1.46e-01
  15      inf    0.00e+00    1.00e-15     0    1.25e-01
  15  3.015358e+04    1.95e+01    1.00e-14     1    1.68e-01
  16      inf    0.00e+00    1.00e-15     0    1.26e-01
  16  3.013652e+04    1.71e+01    1.00e-14     1    1.45e-01
  17      inf    0.00e+00    1.00e-15     0    1.30e-01
  17  3.012131e+04    1.52e+01    1.00e-14     1    1.44e-01
  18      inf    0.00e+00    1.00e-15     0    1.23e-01
  18  3.010775e+04    1.36e+01    1.00e-14     1    1.46e-01
  19      inf    0.00e+00    1.00e-15     0    1.27e-01
  19  3.009551e+04    1.22e+01    1.00e-14     1    1.47e-01
  20      inf    0.00e+00    1.00e-15     0    1.29e-01
  20  3.008444e+04    1.11e+01    1.00e-14     1    1.45e-01
  21      inf    0.00e+00    1.00e-15     0    1.32e-01
  21  3.007441e+04    1.00e+01    1.00e-14     1    1.48e-01
  22      inf    0.00e+00    1.00e-15     0    1.25e-01
  22  3.006522e+04    9.19e+00    1.00e-14     1    1.48e-01
  23      inf    0.00e+00    1.00e-15     0    1.31e-01
  23  3.005675e+04    8.47e+00    1.00e-14     1    1.50e-01
  24      inf    0.00e+00    1.00e-15     0    1.31e-01
  24  3.004903e+04    7.72e+00    1.00e-14     1    1.46e-01
  25      inf    0.00e+00    1.00e-15     0    1.32e-01
  25  3.004207e+04    6.96e+00    1.00e-14     1    1.47e-01
  26      inf    0.00e+00    1.00e-15     0    1.30e-01
  26  3.003576e+04    6.30e+00    1.00e-14     1    1.46e-01
  27      inf    0.00e+00    1.00e-15     0    1.29e-01
  27  3.003002e+04    5.74e+00    1.00e-14     1    1.42e-01
  28      inf    0.00e+00    1.00e-15     0    1.29e-01
  28  3.002468e+04    5.34e+00    1.00e-14     1    1.46e-01
  29      inf    0.00e+00    1.00e-15     0    1.30e-01
  29  3.001988e+04    4.80e+00    1.00e-14     1    1.46e-01
  30      inf    0.00e+00    1.00e-15     0    1.27e-01
  30  3.001553e+04    4.35e+00    1.00e-14     1    1.54e-01
  31      inf    0.00e+00    1.00e-15     0    1.30e-01
  31  3.001163e+04    3.89e+00    1.00e-14     1    1.48e-01
  32      inf    0.00e+00    1.00e-15     0    1.26e-01
  32  3.000810e+04    3.53e+00    1.00e-14     1    1.43e-01
  33      inf    0.00e+00    1.00e-15     0    1.31e-01
  33  3.000485e+04    3.25e+00    1.00e-14     1    1.48e-01
  34      inf    0.00e+00    1.00e-15     0    1.28e-01
  34  3.000188e+04    2.97e+00    1.00e-14     1    1.50e-01
  35      inf    0.00e+00    1.00e-15     0    1.28e-01
  35  2.999928e+04    2.60e+00    1.00e-14     1    1.45e-01
  36      inf    0.00e+00    1.00e-15     0    1.26e-01
  36  2.999692e+04    2.36e+00    1.00e-14     1    1.46e-01
