Initialization Runtime: 0.0167 seconds


Initial error before optimization: 9400.0
Initial error: 9400, values: 4
iter      cost      cost_change    lambda  success iter_time
   0  8.324283e+03    1.08e+03    1.00e-05     1    2.23e-04
   1  3.042008e+02    8.02e+03    1.00e-06     1    3.54e-05
   2  9.798540e+01    2.06e+02    1.00e-07     1    2.44e-05
   3  6.287198e+01    3.51e+01    1.00e-08     1    2.16e-05
   4  2.501100e+01    3.79e+01    1.00e-09     1    2.03e-05
   5  1.020221e+01    1.48e+01    1.00e-10     1    2.00e-05
   6  4.369342e+00    5.83e+00    1.00e-11     1    1.93e-05
   7  2.015734e+00    2.35e+00    1.00e-12     1    1.68e-05
   8  1.045436e+00    9.70e-01    1.00e-13     1    1.70e-05
   9      inf    0.00e+00    1.00e-14     0    6.36e-05
   9  6.276359e-01    4.18e-01    1.00e-13     1    2.09e-05
  10      inf    0.00e+00    1.00e-14     0    2.02e-05
  10  4.425800e-01    1.85e-01    1.00e-13     1    1.63e-05
  11      inf    0.00e+00    1.00e-14     0    1.70e-05
  11      inf    0.00e+00    1.00e-13     0    4.07e-05
  11  3.121765e-01    1.30e-01    1.00e-12     1    2.25e-05
  12      inf    0.00e+00    1.00e-13     0    1.86e-05
  12  2.340188e-01    7.82e-02    1.00e-12     1    1.63e-05
  13      inf    0.00e+00    1.00e-13     0    2.15e-05
  13  1.816841e-01    5.23e-02    1.00e-12     1    1.56e-05
  14      inf    0.00e+00    1.00e-13     0    1.67e-05
  14  1.377438e-01    4.39e-02    1.00e-12     1    1.92e-05
  15  1.069223e-01    3.08e-02    1.00e-13     1    1.41e-05
  16      inf    0.00e+00    1.00e-14     0    1.53e-05
  16  8.483579e-02    2.21e-02    1.00e-13     1    1.41e-05
  17      inf    0.00e+00    1.00e-14     0    1.45e-05
  17  6.565690e-02    1.92e-02    1.00e-13     1    1.43e-05
  18      inf    0.00e+00    1.00e-14     0    1.43e-05
  18  5.894667e-02    6.71e-03    1.00e-13     1    1.42e-05
  19      inf    0.00e+00    1.00e-14     0    4.31e-05
  19  8.510661e-01   -7.92e-01    1.00e-13     1    3.69e-05
  19  4.328485e-02    1.57e-02    1.00e-12     1    5.10e-05
  20  4.375242e-02   -4.68e-04    1.00e-13     1    2.31e-05
  20  3.280029e-02    1.05e-02    1.00e-12     1    2.48e-05
  21  2.502118e-02    7.78e-03    1.00e-13     1    2.03e-05
  22      inf    0.00e+00    1.00e-14     0    2.80e-05
  22  1.955492e-02    5.47e-03    1.00e-13     1    1.84e-05
  23      inf    0.00e+00    1.00e-14     0    1.78e-05
  23  1.557793e-02    3.98e-03    1.00e-13     1    1.51e-05
  24      inf    0.00e+00    1.00e-14     0    1.55e-05
  24  1.221468e-02    3.36e-03    1.00e-13     1    1.48e-05
  25      inf    0.00e+00    1.00e-14     0    1.82e-05
  25  9.490048e-03    2.72e-03    1.00e-13     1    1.50e-05
  26      inf    0.00e+00    1.00e-14     0    1.69e-05
  26  7.533121e-03    1.96e-03    1.00e-13     1    1.43e-05
  27      inf    0.00e+00    1.00e-14     0    1.68e-05
  27  5.866449e-03    1.67e-03    1.00e-13     1    1.53e-05
  28      inf    0.00e+00    1.00e-14     0    1.49e-05
  28  4.625611e-03    1.24e-03    1.00e-13     1    1.43e-05
  29      inf    0.00e+00    1.00e-14     0    3.62e-05
  29  3.617328e-03    1.01e-03    1.00e-13     1    2.02e-05
  30      inf    0.00e+00    1.00e-14     0    1.78e-05
  30  2.840618e-03    7.77e-04    1.00e-13     1    1.42e-05
  31      inf    0.00e+00    1.00e-14     0    1.49e-05
  31      inf    0.00e+00    1.00e-13     0    1.42e-05
  31  2.250201e-03    5.90e-04    1.00e-12     1    1.44e-05
  32      inf    0.00e+00    1.00e-13     0    1.47e-05
  32  1.763966e-03    4.86e-04    1.00e-12     1    2.03e-05
