Initial error before optimization: 2471694.3100011465
Initial error: 2.47169e+06, values: 1228
iter      cost      cost_change    lambda  success iter_time
   0  1.889053e+08   -1.86e+08    1.00e-05     1    8.90e-03
iter      cost      cost_change    lambda  success iter_time
   0  1.888826e+08   -1.86e+08    1.00e-04     1    8.41e-03
iter      cost      cost_change    lambda  success iter_time
   0  1.886723e+08   -1.86e+08    1.00e-03     1    6.06e-03
iter      cost      cost_change    lambda  success iter_time
   0  1.876801e+08   -1.85e+08    1.00e-02     1    6.06e-03
iter      cost      cost_change    lambda  success iter_time
   0  2.044747e+08   -2.02e+08    1.00e-01     1    8.28e-03
iter      cost      cost_change    lambda  success iter_time
   0  2.957430e+08   -2.93e+08    1.00e+00     1    5.91e-03
iter      cost      cost_change    lambda  success iter_time
   0  2.622027e+08   -2.60e+08    1.00e+01     1    7.79e-03
iter      cost      cost_change    lambda  success iter_time
   0  9.092920e+07   -8.85e+07    1.00e+02     1    6.04e-03
iter      cost      cost_change    lambda  success iter_time
   0  2.766979e+06   -2.95e+05    1.00e+03     1    7.19e-03
iter      cost      cost_change    lambda  success iter_time
   0  2.009998e+06    4.62e+05    1.00e+04     1    6.14e-03
   1  3.570481e+06   -1.56e+06    1.00e+03     1    6.80e-03
   1  1.440758e+06    5.69e+05    1.00e+04     1    6.30e-03
   2  6.214317e+06   -4.77e+06    1.00e+03     1    7.24e-03
   2  1.067192e+06    3.74e+05    1.00e+04     1    6.28e-03
   3  8.923137e+06   -7.86e+06    1.00e+03     1    6.03e-03
   3  1.017593e+06    4.96e+04    1.00e+04     1    6.28e-03
   4  1.115620e+07   -1.01e+07    1.00e+03     1    5.84e-03
   4  9.417565e+05    7.58e+04    1.00e+04     1    6.49e-03
   5  1.271175e+07   -1.18e+07    1.00e+03     1    5.98e-03
   5  9.217387e+05    2.00e+04    1.00e+04     1    6.36e-03
   6  1.355676e+07   -1.26e+07    1.00e+03     1    6.21e-03
   6  8.852626e+05    3.65e+04    1.00e+04     1    7.15e-03
   7  1.383212e+07   -1.29e+07    1.00e+03     1    7.05e-03
   7  8.727057e+05    1.26e+04    1.00e+04     1    5.99e-03
   8  1.364443e+07   -1.28e+07    1.00e+03     1    5.40e-03
   8  8.506079e+05    2.21e+04    1.00e+04     1    6.63e-03
   9  1.312966e+07   -1.23e+07    1.00e+03     1    6.75e-03
   9  8.354138e+05    1.52e+04    1.00e+04     1    8.37e-03
  10  1.238379e+07   -1.15e+07    1.00e+03     1    6.16e-03
  10  8.146624e+05    2.08e+04    1.00e+04     1    6.37e-03
  11  1.150356e+07   -1.07e+07    1.00e+03     1    6.70e-03
  11  7.953382e+05    1.93e+04    1.00e+04     1    7.87e-03
  12  1.055591e+07   -9.76e+06    1.00e+03     1    6.60e-03
  12  7.736257e+05    2.17e+04    1.00e+04     1    7.16e-03
  13  9.596983e+06   -8.82e+06    1.00e+03     1    6.74e-03
  13  7.522540e+05    2.14e+04    1.00e+04     1    5.58e-03
  14  8.661529e+06   -7.91e+06    1.00e+03     1    6.76e-03
  14  7.303545e+05    2.19e+04    1.00e+04     1    7.16e-03
  15  7.773325e+06   -7.04e+06    1.00e+03     1    7.17e-03
  15  7.088011e+05    2.16e+04    1.00e+04     1    5.92e-03
  16  6.944604e+06   -6.24e+06    1.00e+03     1    6.95e-03
  16  6.872652e+05    2.15e+04    1.00e+04     1    7.17e-03
  17  6.181484e+06   -5.49e+06    1.00e+03     1    7.81e-03
  17  6.654777e+05    2.18e+04    1.00e+04     1    6.38e-03
  18  5.486523e+06   -4.82e+06    1.00e+03     1    5.95e-03
  18  6.426433e+05    2.28e+04    1.00e+04     1    6.34e-03
  19  4.860755e+06   -4.22e+06    1.00e+03     1    6.86e-03
  19  6.184423e+05    2.42e+04    1.00e+04     1    6.33e-03
  20  4.301576e+06   -3.68e+06    1.00e+03     1    6.86e-03
  20  5.937578e+05    2.47e+04    1.00e+04     1    6.55e-03
  21  3.803977e+06   -3.21e+06    1.00e+03     1    7.00e-03
  21  5.697706e+05    2.40e+04    1.00e+04     1    7.31e-03
